"Park_code","Site_code","Site_status","Stratum_code","Stratum_label","Panel_type","Panel_name","GRTS_order","Slope_class","Substratum","Evaluation_code","Evaluation_notes","UTME_public","UTMN_public","Public_offset","UTME_best","UTMN_best","Datum","Zone","Elevation_m","Slope_deg","Aspect_deg","Target_UTME","Target_UTMN","Target_datum","Site_established_date","Site_discontinued_date","Site_notes"
"LEWI","CADI","Active","4","Parkwide","Biennial",,,,,,,417771,5126834,"Actual",417771,5126834,"NAD83",10,10.00,27.00,295.00,,,,"","",
"LEWI","DINI","Retired","4","Parkwide","Biennial",,,,,,,433389,5122239,"Actual",433389,5122239,"NAD83",10,5.00,8.00,105.00,,,,"","5/25/2008",
"LEWI","FOCL","Active","4","Parkwide","Biennial",,,,,,,431088,5108890,"Actual",431088,5108890,"NAD83",10,54.00,23.00,360.00,,,,"","",
"LEWI","SUBE","Active","4","Parkwide","Biennial",,,,,,,427537,5105788,"Actual",427537,5105788,"NAD83",10,18.00,5.00,292.00,,,,"","",
"LEWI","YEON","Active","4","Parkwide","Biennial",,,,,"TS",,427702,5104847,"Actual",427702,5104847,"NAD83",10,19.00,7.00,1.00,,,,"","","Added in early 2014 to allow additional grid sampling points to be added to the Yeon unit.  The grid was a continuation of the Sunset Beach grid overlay using the same spacing.  From B. Wilkerson, March 2014:  ""I just simply continued the eastern line of existing sites in Sunset Beach to the south, placing new points every 350 meters.  I tried to add another line of points south of the western Sunset Beach points, but they all fell on or outside of the Yeon property boundary."""
"MORA","4001","Active","3","Low","Annual","1",1,"<35%","Road",,,583252,5176699,"Actual",583252,5176699,"NAD83",10,627.00,6.00,182.00,583249,5176702,"NAD83","","",
"MORA","4002","Active","2","Medium","Annual","1",2,"<35%","Road",,,604530,5179753,"Actual",604530,5179753,"NAD83",10,905.00,12.00,241.00,604531,5179754,"NAD83","","",
"MORA","4003","Active","1","High","Annual","1",3,">35%","Trail",,,586277,5198088,"Actual",586277,5198088,"NAD83",10,1426.00,46.00,150.00,586288,5198029,"NAD83","","",
"MORA","4004","Active","2","Medium","Annual","1",4,">35%","Trail",,,592181,5201770,"Actual",592180.544,5201770.481,"NAD83",10,1124.00,34.00,242.00,592089,5201814,"NAD83","","",
"MORA","4005","Active","3","Low","Annual","1",5,"<35%","Road",,,584840,5177040,"Actual",584840,5177040,"NAD83",10,663.00,2.00,207.00,584840,5177035,"NAD83","","",
"MORA","4006","Active","3","Low","Alternating","2",6,">35%","Trail",,,609822,5178349,"Actual",609822.242,5178349.207,"NAD83",10,667.00,19.00,146.00,609928,5178345,"NAD83","","",
"MORA","4007","Active","1","High","Annual","1",7,"<35%","Trail",,,596343,5183038,"Actual",596343,5183038,"NAD83",10,1793.00,12.00,168.00,596343,5183038,"NAD83","","",
"MORA","4008","Active","3","Low","Alternating","2",8,">35%","Trail",,,610396,5181330,"Actual",610396.214,5181330.273,"NAD83",10,693.00,23.00,81.00,610258,5181306,"NAD83","","",
"MORA","4009","Active","2","Medium","Annual","1",9,">35%","Trail",,,587730,5179368,"Actual",587730,5179368,"NAD83",10,1191.00,24.00,101.00,587718,5179403,"NAD83","","",
"MORA","4010","Active","3","Low","Alternating","3",10,">35%","Trail","TS",,610246,5180332,"Actual",610245.619,5180331.578,"NAD83",10,698.00,34.00,95.00,610261,5180327,"NAD83","6/5/2008","",
