"Park_code","Point_code","Location_type","Location_status","Stratum_code","Stratum_label","Site_code","Site_status","Panel_type","Panel_name","GRTS_order","UTME_public","UTMN_public","Public_offset","UTME_best","UTMN_best","Datum","Zone","Elevation_m","Slope_deg","Aspect_deg","Trail_or_road","Azimuth_to_point","Direction_changed","Reason_for_change","Travel_notes","Location_desc","Loc_established_date","Loc_discontinued_date","Location_notes"
"LEWI","CADI.038","Survey","Retired","4","Parkwide","CADI","Active","Biennial",,,417612,5128006,"Actual",417612,5128006,"NAD83",10,86.00,15.00,57.00,,,0,,,"Westwind Trail can be used to access point, although it curves and turns in the wrong direction. Point fairly inconspicuous in Sitka spruce forest.","6/6/2006","5/25/2008",
"LEWI","CADI.039","Survey","Retired","4","Parkwide","CADI","Active","Biennial",,,417970,5127997,"Actual",417970,5127997,"NAD83",10,49.00,11.00,131.00,,,0,,"easy going, not boggy, close to road (about 60 m)",,"6/7/2006","5/25/2008",
"LEWI","CADI.040","Survey","Retired","4","Parkwide","CADI","Active","Biennial",,,417620,5128357,"Actual",417620,5128357,"NAD83",10,50.00,14.00,275.00,,,0,,"rough travel down slope, sword fern and salal thick. Best way would be to get exact northing from Westwind Trail and proceed west or pace from 041.","on steep slope. Ocean audible, very big Sitka spruces surrounding point.","6/6/2006","5/25/2008",
"LEWI","CADI.041","Survey","Retired","4","Parkwide","CADI","Active","Biennial",,,417963,5128344,"Actual",417963,5128344,"NAD83",10,49.00,15.00,59.00,,,0,,"Close to Westwind Trail from Beard's Hollow (highway traffic audible)","openish spruce forest with red alders, salal, deer and sword fern","6/6/2006","5/25/2008",
"LEWI","CADI.042","Survey","Retired","4","Parkwide","CADI","Active","Biennial",,,417623,5128703,"Actual",417623,5128703,"NAD83",10,5.00,5.00,245.00,,,0,,"Travel is easy on WB Discovery Trail, trailhead just to the left of the interpretive bridge at Beard's Hollow area. Easy off-trail access.",,"6/6/2006","5/25/2008",
"LEWI","CADI.043","Survey","Retired","4","Parkwide","CADI","Active","Biennial",,,418010,5128696,"Actual",418010,5128696,"NAD83",10,6.00,6.00,241.00,,,0,,,"Point in very marshy area, conducted point count at the edge of a deeper boggy area, about 40 m to E of actual plotted point on map.","6/6/2006","5/25/2008",
"LEWI","CADI.044","Survey","Retired","4","Parkwide","CADI","Active","Biennial",,,417988,5129047,"Actual",417988,5129047,"NAD83",10,27.00,54.00,312.00,,,0,,"Approached point from road. Point seemed to be on or perhaps at the foot on an unnavigable cliff. Got as close to cliff edge and point as possible",,"6/6/2006","5/25/2008",
"LEWI","CADI.045","Survey","Retired","4","Parkwide","CADI","Active","Biennial",,,417967,5129401,"Actual",417967,5129401,"NAD83",10,0.00,0.00,0.00,,,0,,"Traveled to point from Beards Hollow Trailhead area, WB (?) on Discovery Trail (the entrance of which is to the immediate left of the more obvious interpretive bridge). Many jeep trails lead N from Discovery Trail and I was able to follow these wihtout difficulty to veyr near point 045. I only had to go off trail about 40 m through waist-high sedge and shrub.",,"6/7/2006","5/25/2008",
"LEWI","CADI.046","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,416957,5124858,"Actual",416957,5124858,"NAD83",10,2.00,2.00,236.00,"Off trail",,0,,,"On very edge of rising tide- clearly in intertidal zone. Could not go out far enough without going into the drink. Backshore 50 m East of point/water. 2014 - low tide, point was far away from tide line. Easy access.","6/5/2006","",
"LEWI","CADI.047","Survey","Active","4","Parkwide","CADI","Active","Biennial",,,416995,5125198,"Actual",416995,5125198,"NAD83",10,5.00,3.00,242.00,"Off trail",,0,,,"Couldn't go far enough W because of ocean. Water about 50 m from backshore, point about 25 m from water.","6/5/2006","",
