"Event_year","Park_code","Stratum_label","Site_code","Site_status","Panel_type","Panel_name","Point_code","Location_type","Location_status","Event_excluded","DPL_code","Event_ID","Habitat_num","Veg_type_code","Canopy_cover","Tree_size_class","Habitat_notes","Is_forested","Detection_class"
2021,"MORA","Low","4001","Active","Annual","1","4001.NN01","Survey","Active",0,"R",19285,1,"WEHE","71-100","53-81 cm",,1,"Dense"
2021,"MORA","Low","4001","Active","Annual","1","4001.NN02a","Survey","Active",0,"R",19286,1,"WRCH","71-100","53-81 cm",,1,"Dense"
2021,"MORA","Low","4001","Active","Annual","1","4001.NN03a","Survey","Active",0,"R",19287,1,"WEHE","71-100","81-122 cm",,1,"Dense"
2021,"MORA","Low","4001","Active","Annual","1","4001.NN04a","Survey","Active",0,"R",19288,1,"WEHE","71-100","53-81 cm",,1,"Dense"
2021,"MORA","Low","4001","Active","Annual","1","4001.NN05a","Survey","Active",0,"R",19289,1,"DFWH","41-70","53-81 cm",,1,"Dense"
2021,"MORA","Low","4001","Active","Annual","1","4001.NN06","Survey","Active",0,"R",19290,1,"WEHE","71-100","53-81 cm",,1,"Dense"
2021,"MORA","Low","4001","Active","Annual","1","4001.NN07","Additional","Active",0,"R",19291,1,"WEHE","71-100","53-81 cm",,1,"Dense"
2021,"MORA","Low","4001","Active","Annual","1","4001.NN08","Additional","Active",0,"R",19292,1,"DFWH","71-100","53-81 cm",,1,"Dense"
2021,"MORA","Low","4001","Active","Annual","1","4001.SS01a","Survey","Active",0,"R",19275,1,"DFWH","<11","53-81 cm",,1,"Dense"
2021,"MORA","Low","4001","Active","Annual","1","4001.SS01a","Survey","Active",0,"R",19275,2,"ROSV",,,,0,"Sparse"
2021,"MORA","Low","4001","Active","Annual","1","4001.SS02","Survey","Active",0,"R",19276,1,"REAL","41-70","23-53 cm",,1,"Dense"
2021,"MORA","Low","4001","Active","Annual","1","4001.SS02","Survey","Active",0,"R",19276,2,"ROSV",,,,0,"Sparse"
2021,"MORA","Low","4001","Active","Annual","1","4001.SS03","Survey","Active",0,"R",19277,1,"REAL","41-70","23-53 cm","black cottonwood also mixed in",1,"Dense"
2021,"MORA","Low","4001","Active","Annual","1","4001.SS04","Survey","Active",0,"R",19278,1,"ROSV",,,"small river running",0,"Sparse"
2021,"MORA","Low","4001","Active","Annual","1","4001.SS05","Survey","Active",0,"R",19279,1,"DFWH","41-70","53-81 cm",,1,"Dense"
2021,"MORA","Low","4001","Active","Annual","1","4001.SS06","Survey","Active",0,"R",19280,1,"WERC","71-100","53-81 cm","scattered DOFI",1,"Dense"
2021,"MORA","Low","4001","Active","Annual","1","4001.SS07","Additional","Active",0,"R",19281,1,"DFWH","41-70","53-81 cm",,1,"Dense"
2021,"MORA","Low","4001","Active","Annual","1","4001.SS08","Additional","Active",0,"R",19282,1,"ROSV",,,,0,"Sparse"
2021,"MORA","Low","4001","Active","Annual","1","4001.SS09","Additional","Active",0,"R",19283,1,"MICO","71-100","53-81 cm","road",1,"Dense"
2021,"MORA","Low","4001","Active","Annual","1","4001.SS10","Additional","Active",0,"R",19284,1,"WERC","71-100","53-81 cm","road",1,"Dense"
2021,"MORA","Medium","4002","Active","Annual","1","4002.NE01","Survey","Active",0,"P",18640,1,"DFWH","11-40","23-53 cm",,1,"Dense"
2021,"MORA","Medium","4002","Active","Annual","1","4002.NE02","Survey","Active",0,"P",18641,1,"WEHE","11-40","53-81 cm","DOFI and PASF",1,"Dense"
2021,"MORA","Medium","4002","Active","Annual","1","4002.NE03","Survey","Active",0,"P",18642,1,"MICO","11-40","53-81 cm","WEHE, ALYC and PASF evenly distributed",1,"Dense"
2021,"MORA","Medium","4002","Active","Annual","1","4002.NE03","Survey","Active",0,"P",18642,2,"REAL","41-70","<23 cm",,1,"Dense"
2021,"MORA","Medium","4002","Active","Annual","1","4002.NE04","Survey","Active",0,"P",18643,1,"WEHE","41-70","53-81 cm","almost as much ALYC as WEHE",1,"Dense"
2021,"MORA","Medium","4002","Active","Annual","1","4002.NE05","Survey","Active",0,"P",18644,1,"WEHE","41-70","53-81 cm",,1,"Dense"
2021,"MORA","Medium","4002","Active","Annual","1","4002.NE06","Survey","Active",0,"P",18645,1,"WEHE","41-70","53-81 cm",,1,"Dense"
2021,"MORA","Medium","4002","Active","Annual","1","4002.NE06","Survey","Active",0,"P",18645,2,"PASF","11-40","23-53 cm",,1,"Dense"
2021,"MORA","Medium","4002","Active","Annual","1","4002.NE07","Additional","Active",0,"P",18646,1,"PASF","11-40","53-81 cm","rock wall ~30m away",1,"Dense"
2021,"MORA","Medium","4002","Active","Annual","1","4002.NE08","Additional","Active",0,"P",18647,1,"PASF","11-40","23-53 cm","WEHE",1,"Dense"
2021,"MORA","Medium","4002","Active","Annual","1","4002.SW01","Survey","Active",0,"R",18658,1,"DFWH","41-70","53-81 cm",,1,"Dense"
2021,"MORA","Medium","4002","Active","Annual","1","4002.SW02","Survey","Active",0,"R",18659,1,"WEHE","11-40","53-81 cm",,1,"Dense"
2021,"MORA","Medium","4002","Active","Annual","1","4002.SW03","Survey","Active",0,"R",18660,1,"WEHE","11-40","53-81 cm","Nickle Creek running through 50m radius",1,"Dense"
2021,"MORA","Medium","4002","Active","Annual","1","4002.SW04","Survey","Active",0,"R",18661,1,"WEHE","41-70","53-81 cm",,1,"Dense"
2021,"MORA","Medium","4002","Active","Annual","1","4002.SW05","Survey","Active",0,"R",18662,1,"DFWH","41-70","53-81 cm",,1,"Dense"
2021,"MORA","Medium","4002","Active","Annual","1","4002.SW06","Survey","Active",0,"R",18663,1,"DOFI","11-40","53-81 cm",,1,"Dense"
2021,"MORA","Medium","4002","Active","Annual","1","4002.SW07","Additional","Active",0,"R",18664,1,"WEHE","41-70","53-81 cm",,1,"Dense"
2021,"MORA","Medium","4002","Active","Annual","1","4002.SW08","Additional","Active",0,"R",18665,1,"WEHE","11-40","53-81 cm",,1,"Dense"
2021,"MORA","Medium","4002","Active","Annual","1","4002.SW09","Additional","Active",0,"R",18666,1,"WEHE","11-40","53-81 cm",,1,"Dense"
2021,"MORA","High","4003","Active","Annual","1","4003.SE01","Survey","Active",0,"R",18792,1,"MICO","11-40","53-81 cm","PASF, MOHE, WEHE, AYCE, DOFI and SUBF all mixed",1,"Dense"
2021,"MORA","High","4003","Active","Annual","1","4003.SE02","Survey","Active",0,"R",18793,1,"PASF","11-40","53-81 cm",,1,"Dense"
2021,"MORA","High","4003","Active","Annual","1","4003.SE03","Survey","Active",0,"R",18794,1,"PASF","11-40","53-81 cm","WEHE",1,"Dense"
2021,"MORA","High","4003","Active","Annual","1","4003.SE04","Survey","Active",0,"R",18795,1,"PASF","11-40","23-53 cm",,1,"Dense"
2021,"MORA","High","4003","Active","Annual","1","4003.SE05","Survey","Active",0,"R",18796,1,"PASF","11-40","23-53 cm",,1,"Dense"
2021,"MORA","High","4003","Active","Annual","1","4003.SE06","Survey","Active",0,"R",18797,1,"PASF","11-40","23-53 cm",,1,"Dense"
2021,"MORA","High","4003","Active","Annual","1","4003.SE07","Additional","Active",0,"R",18798,1,"PASF","41-70","53-81 cm",,1,"Dense"
2021,"MORA","High","4003","Active","Annual","1","4003.SE08","Additional","Active",0,"R",18799,1,"PASF","41-70","23-53 cm",,1,"Dense"
2021,"MORA","High","4003","Active","Annual","1","4003.SE08","Additional","Active",0,"R",18799,2,"ROSV",,,"talus field to SE",0,"Sparse"
2021,"MORA","High","4003","Active","Annual","1","4003.SW01","Survey","Active",0,"P",18674,1,"MICO","41-70","53-81 cm",,1,"Dense"
2021,"MORA","High","4003","Active","Annual","1","4003.SW02","Survey","Active",0,"P",18675,1,"MICO","71-100","53-81 cm","Silver fir, doug fir, yellow cedar, mountain hemlock",1,"Dense"
2021,"MORA","High","4003","Active","Annual","1","4003.SW03","Survey","Active",0,"P",18676,1,"WEHE","41-70","53-81 cm",,1,"Dense"
