"Event_year","Park_code","Stratum_label","Site_code","Site_status","Panel_type","Panel_name","Point_code","Location_type","Location_status","Event_ID","Event_date","Event_excluded","DPL_code","DPL_date_str","Species","Sci_name","Com_name","Taxon_family","Taxon_sort","Nest_activity","Nest_obs_notes","Nest_obs_ID"
2021,"MORA","Medium","4002","Active","Annual","1","4002.TO","Origin","Active",18639,"7/6/2021",0,"P","07/20/2021 13:55","CAJA","Perisoreus canadensis","Gray Jay","Corvidae",1427,"Recent fledglings","one fledgling hopping around in the trees",584
2021,"MORA","Medium","4002","Active","Annual","1","4002.TO","Origin","Active",18639,"7/6/2021",0,"P","07/20/2021 13:55","HAWO","Picoides villosus","Hairy Woodpecker","Picidae",1016,"Unknown contents","adult HAWO going in and out of cavity ~50m away",585
2021,"MORA","Low","4005","Active","Annual","1","4005.TO","Origin","Active",19261,"6/6/2021",0,"R","06/24/2021 10:22","HAWO","Picoides villosus","Hairy Woodpecker","Picidae",1016,"Nestlings",,601
2021,"MORA","High","4007","Active","Annual","1","4007.TO","Origin","Active",19425,"7/22/2021",0,"R","07/30/2021 12:27","AMPI","Anthus rubescens","American Pipit","Passeridae",1757,"Unknown contents",,603
2021,"MORA","High","4007","Active","Annual","1","4007.TO","Origin","Active",19425,"7/22/2021",0,"R","07/30/2021 12:27","DEJU","Junco hyemalis","Dark-eyed Junco","Fringillidae",1910,"Recent fledglings","x2",604
2021,"MORA","High","4007","Active","Annual","1","4007.TO","Origin","Active",19425,"7/22/2021",0,"R","07/30/2021 12:27","GCRF","Leucosticte tephrocotis","Gray-crowned Rosy-Finch","Fringillidae",1826,"Recent fledglings",,605
2021,"MORA","High","4011","Active","Annual","1","4011.TO","Origin","Active",18874,"7/28/2021",0,"R","08/08/2021 12:22","AMRO","Turdus migratorius","American Robin","Muscicapidae",1681,"Recent fledglings",,590
2021,"MORA","High","4011","Active","Annual","1","4011.TO","Origin","Active",18874,"7/28/2021",0,"R","08/08/2021 12:22","DEJU","Junco hyemalis","Dark-eyed Junco","Fringillidae",1910,"Recent fledglings",">9",588
2021,"MORA","High","4011","Active","Annual","1","4011.TO","Origin","Active",18874,"7/28/2021",0,"R","08/08/2021 12:22","UNWA","Parulidae","Unidentified warbler","Parulidae",2145,"Recent fledglings",,589
2021,"MORA","High","4045","Active","Alternating","5","4045.TO","Origin","Active",18800,"7/23/2021",0,"R","07/30/2021 14:29","DEJU","Junco hyemalis","Dark-eyed Junco","Fringillidae",1910,"Recent fledglings",,587
2021,"MORA","High","4083","Active","Alternating","5","4083.TO","Origin","Active",18892,"7/27/2021",0,"R","08/09/2021 09:03","DEJU","Junco hyemalis","Dark-eyed Junco","Fringillidae",1910,"Recent fledglings",,591
2021,"NOCA","High","1016","Active","Annual","1","1016.TO","Origin","Active",19664,"7/17/2021",0,"P","10/29/2021 21:44","DEJU","Junco hyemalis","Dark-eyed Junco","Fringillidae",1910,"Recent fledglings",,613
2021,"NOCA","High","1016","Active","Annual","1","1016.TO","Origin","Active",19664,"7/17/2021",0,"P","10/29/2021 21:44","YRWA","Setophaga coronata","Yellow-rumped Warbler","Fringillidae",2111,"Recent fledglings",,612
2021,"NOCA","Low","1017","Active","Annual","1","1017.TO","Origin","Active",19107,"5/29/2021",0,"R","06/09/2021 18:39","PAWR","Troglodytes pacificus","Pacific Wren","Certhiidae",1534,"Recent fledglings","near NN03",597
2021,"NOCA","Low","1020","Active","Annual","1","1020.TO","Origin","Active",19715,"6/18/2021",0,"R","09/18/2021 21:29","AMRO","Turdus migratorius","American Robin","Muscicapidae",1681,"Recent fledglings",,611
2021,"NOCA","Low","1020","Active","Annual","1","1020.TO","Origin","Active",19715,"6/18/2021",0,"R","09/18/2021 21:29","SAPH","Sayornis saya","Say's Phoebe","Tyrannidae",1379,"Nestlings",,610
2021,"OLYM","Low","3121","Active","Annual","1","3121.TO","Origin","Active",19177,"6/9/2021",0,"R","06/16/2021 18:15","BEKI","Megaceryle alcyon","Belted Kingfisher","Cerylidae",956,"Nestlings",,599
2021,"OLYM","Low","3121","Active","Annual","1","3121.TO","Origin","Active",19177,"6/9/2021",0,"R","06/16/2021 18:15","COME","Mergus merganser","Common Merganser","Anatidae",103,"Recent fledglings",,600
2021,"OLYM","Medium","3122","Active","Annual","1","3122.TO","Origin","Active",19052,"7/22/2021",0,"R","08/10/2021 21:01","GCRF","Leucosticte tephrocotis","Gray-crowned Rosy-Finch","Fringillidae",1826,"Recent fledglings",,593
2021,"OLYM","High","3124","Active","Annual","1","3124.TO","Origin","Active",18775,"7/7/2021",0,"R","07/23/2021 14:32","PAWR","Troglodytes pacificus","Pacific Wren","Certhiidae",1534,"Recent fledglings",,586
