"Rare_bird_obs_ID","Obs_year","Park_code","Species","Sci_name","Com_name","Taxon_family","Taxon_sort","Obs_date_str","Obs_time_str","Observer_1","Observer_2","Group_size","Nest_activity","Obs_distance_m","Rare_obs_notes","Location_name","Point_code","UTME_public","UTMN_public","Public_offset","UTM_east","UTM_north","Coord_type","Datum","Est_horiz_error","Elevation_m","Field_UTME","Field_UTMN","Field_datum","Field_horiz_error","Field_coord_source","GPS_model","GPS_file_name","Coordinate_notes","Obs_excluded","DPL_code","DPL_date_str","QA_notes"
658,2020,"MORA","ATTW","Picoides dorsalis","American Three-toed Woodpecker","Picidae",1009,"7/25/2020","07:32","McMahon_Quinn",,1,"No nest observed",43,"Heard calling in Surise CG. Visually identified bird previous day.","Sunrise CG","4043.WW06",,,,,,,"NAD83",,,602026,5196100,"NAD83",3,"GPS","Garmin GPS 60 series","4043WW06",,0,"A","04/27/2021 15:30",
659,2020,"MORA","BAGO","Bucephala islandica","Barrow’s Goldeneye","Anatidae",100,"7/16/2020","09:10","Kropp_Mikaela",,1,"No nest observed",132,"female goldeneye observed floating, diving + vocalizing across lake for several minutes. matched vocalizations to Barrow's recordings -- too deep + husky to be common","Mystic Lake",,,,,,,,"NAD83",,,594845,5196201,"NAD83",,"Map","Garmin GPS 60 series",,,0,"A","04/27/2021 15:30",
660,2020,"MORA","HADU","Histrionicus histrionicus","Harlequin Duck","Anatidae",89,"6/25/2020","14:11","McMahon_Quinn","Kropp_Mikaela",1,"No nest observed",94,"duck diving in river + standing alongside. harlequin face markings seen clearly","Carbon River",,,,,,,,"NAD83",,,588335,5203986,"NAD83",,"Map","Garmin GPS 60 series",,,0,"A","04/27/2021 15:30",
657,2020,"MORA","NOGO","Accipiter gentilis","Northern Goshawk","Accipitridae",836,"6/18/2020","08:15","McMahon_Quinn",,1,"No nest observed",25,"NOGO hunting passerines downslope form point. Flushed several smaller birds.","4002NE07","4002.NE07",,,,,,,"NAD83",,,604780,5180832,"NAD83",,"GPS","Garmin GPS 60 series","4007NE07",,0,"A","04/27/2021 15:30",
654,2020,"NOCA","ATTW","Picoides dorsalis","American Three-toed Woodpecker","Picidae",1009,"6/26/2020","09:20","Lane_Fanter",,1,"No nest observed",,"Heard calling from campsite. More muted than HAWO.","Luna Camp",,,,,,,,"NAD83",,,631928,5410916,"NAD83",12,"GPS","Garmin GPS 60 series",,,0,"A","04/27/2021 15:30",
655,2020,"NOCA","ATTW","Picoides dorsalis","American Three-toed Woodpecker","Picidae",1009,"7/21/2020","15:00","Lane_Fanter","Hamm_Kelsey",2,"No nest observed",23,"head two calling right next to trail while walking up to 1050 transect. Typical single noted call heard, more muted compared to hairy woodpecker.","Pierce mountain trail",,,,,,,,"NAD83",,,641145,5400412,"NAD83",32,"GPS","Garmin GPS 60 series","ATTW20200721",,0,"A","04/27/2021 15:30",
649,2020,"NOCA","BBWO","Picoides arcticus","Black-backed Woodpecker","Picidae",1010,"6/22/2020","18:00","Lane_Fanter","Hamm_Kelsey",1,"No nest observed",24,"Bird called 5-8 times in snags above us but never got a visual. Classic ""pik"" calls repeated over and over. Call was not as sharp and metalic as ATTW or HAWO. Instead it was more hollow and delicate sounding.","Rainbow point campground",,,,,,,,"NAD83",,,643726,5407074,"NAD83",5,"GPS","Garmin GPS 60 series","2020062020BBWO",,0,"A","04/27/2021 15:30",
686,2020,"NOCA","BLSW","Cypseloides niger","Black Swift","Apodidae",282,"6/17/2020","08:45","Holmgren_Mandy",,3,"No nest observed",,"I heard the twitter of swifts as I was walking- sounded initially a bit like crossbills, but more twittery. Lower-pitched than VASWs.","South Fork, Bridge Creek",,,,,,,,"NAD83",,,665307,5370766,"NAD83",,"Map","None",,,0,"A","04/27/2021 15:30",
662,2020,"NOCA","BLSW","Cypseloides niger","Black Swift","Apodidae",282,"6/18/2020","11:30","Ray_Katelyn","Holmgren_Mandy",25,"No nest observed",150,"Large, long-tail and pointed sickle-shaped wings. Low pitched calls confirming ID.","Bridge Creek Camp",,,,,,,,"NAD83",,,657622,5366321,"NAD83",,"Map","None",,,0,"A","04/27/2021 15:30",
685,2020,"NOCA","BUOR","Icterus bullockii","Bullock's Oriole","Fringillidae",2020,"6/20/2020","08:00","Holmgren_Mandy",,1,"No nest observed",,"I first head the classic oriole chatter before he broke out into song- a bubbly, whistly, ""do-do-do-doo, peeka peeka"" sort of sound.","Stehekin landing",,,,,,,,"NAD83",,,673822,5353325,"NAD83",,"Map","None",,,0,"A","04/27/2021 15:30",
689,2020,"NOCA","COLO","Gavia immer","Common Loon","Gaviidae",670,"6/19/2020","07:00","Holmgren_Mandy",,3,"No nest observed",,"I saw 3 loons out on the lake- there was one in adult breeding plumage (black head, black and white checkered back) and two in immature or nonbreeding plumage (drab, grayish on back)- all were together and were very large with long bills.","Lake Chelan",,,,,,,,"NAD83",,,672794,5354170,"NAD83",,"Map","None",,,0,"A","04/27/2021 15:30",
687,2020,"NOCA","HADU","Histrionicus histrionicus","Harlequin Duck","Anatidae",89,"6/18/2020","18:00","Holmgren_Mandy",,2,"No nest observed",,"I saw 2 female/female-type HADUs on a gravel bar near Harlequin Bridge. Both were brownish overall with a white spot on their heads. No males seen.","Harlequin Bridge",,,,,,,,"NAD83",,,669365,5357653,"NAD83",,"Map","None",,,0,"A","04/27/2021 15:30",
651,2020,"NOCA","HOLA","Eremophila alpestris","Horned Lark","Alaudidae",1476,"7/15/2020","05:43","Hamm_Kelsey",,1,"No nest observed",186,"Sang once in the meadow just north of High Camp while at NE03 and then once again at point NE04.","High Camp","1048.NE03",,,,,,,"NAD83",,,672959,5366127,"NAD83",3,"GPS","Garmin GPS 60 series","1048NE03",,0,"A","04/27/2021 15:30",
653,2020,"NOCA","NOGO","Accipiter gentilis","Northern Goshawk","Accipitridae",836,"6/26/2020","07:46","Lane_Fanter",,1,"No nest observed",578,"Adult flew and landed somewhere on hillside directly across from point 09 on SE arm. Landed on SW hillside across big beaver creek from trail.","Transect 1018","1018.SE09",,,,,,,"NAD83",,,632143,5410428,"NAD83",6,"GPS","Garmin GPS 60 series","1018SE09",,0,"A","04/27/2021 15:30",
684,2020,"NOCA","NSHO","Anas clypeata","Northern Shoveler","Anatidae",60,"6/11/2020","20:30","Holmgren_Mandy",,2,"No nest observed",,"I saw 2 shovelers on the lake- one male, one female. The male had a green head, white breast, and rufous sides. The female was brownish overall. Both had big, distinctive shovel bills.","Stehekin/Lake Chelan",,,,,,,,"NAD83",,,672730,5354308,"NAD83",,"Map","None",,,0,"A","04/27/2021 15:30",
672,2020,"NOCA","PEFA","Falco peregrinus","Peregrine Falcon","Falconidae",1061,"6/11/2020","19:00","Holmgren_Mandy",,2,"Nestlings",,"I had been monitoring this PEFA pair for over 2 months, as it seemed to be nesting in the bluffs near the head of the lake. They are very vocal- loud, raucous calls. I have gotten very good looks at both adults many times- dark falcons with pointed wings and dark ""helmets"" on their heads.","Stehekin",,,,,,,,"NAD83",,,672360,5355196,"NAD83",,"GPS","Garmin GPS 60 series","PEFA NEST",,0,"A","04/27/2021 15:30",
650,2020,"NOCA","PEFA","Falco peregrinus","Peregrine Falcon","Falconidae",1061,"6/23/2020","16:00","Hamm_Kelsey","Lane_Fanter",1,"No nest observed",250,"Vocalized over the water around the cliffs to the northeast of Hidden hand campground. Did not get a visual because it was around the other side of the cove. Did not have GPS on us, so estimated location afterwards. It called several times with the long screech while flying around the cliffs (vocalizations moved)","Hidden Hand Camp",,,,,,,,"NAD83",,,644778,5399635,"NAD83",,"Map","None",,,0,"A","04/27/2021 15:30",
683,2020,"NOCA","RNGR","Podiceps grisegena","Red-necked Grebe","Podicipedidae",171,"6/17/2020","16:30","Holmgren_Mandy",,1,"No nest observed",,"There was a RNGR in breeding plumage near the Stehekin landing- it had a rufous neck with white on sides of face, and a dark head and back. Rufous on the neck was diagnostic.","Stehekin/Lake Chelan, near landing",,,,,,,,"NAD83",,,673440,5353380,"NAD83",,"Map","None",,,0,"A","04/27/2021 15:30",
663,2020,"NOCA","SORA","Porzana carolina","Sora","Rallidae",451,"6/19/2020","10:18","Ray_Katelyn","Holmgren_Mandy",1,"No nest observed",,"Calling in the distinctive and very loud ""per-WEE"" very frequently in wetland.","Stehekin",,,,,,,,"NAD83",,,672309,5354930,"NAD83",,"Map","None",,,0,"A","04/27/2021 15:30",
688,2020,"NOCA","WODU","Aix sponsa","Wood Duck","Anatidae",54,"6/20/2020","06:20","Holmgren_Mandy",,2,"Recent fledglings",,"I saw 2 adult Wood Ducks with young. The male was garish-looking with a clown-like face (bright orange bill, green head with crest, red eyes, and multi-colored body- unmistakeable! Female was much drabber, but still with crest and dramatic eye ring. Young with them.","Stehekin/Lake Chelan",,,,,,,,"NAD83",,,672730,5354308,"NAD83",,"Map","None",,,0,"A","04/27/2021 15:30",
680,2020,"OLYM","ANHU","Calypte anna","Anna’s Hummingbird","Trochilidae",365,"6/26/2020","10:00","Holmgren_Mandy",,1,"No nest observed",10,"First time I've ever seen an ANHU in the OLYM highcountry. It was a female (or female type) with a green back and whitish underparts. No rufous at all. She was flitting around and making classic Anna's calls- chattery, thin calls- a bit squeaky.","Wolf Creek Trailhead, Hurricane Ridge",,,,,,,,"NAD83",,,461790,5313236,"NAD83",,"Map","None",,,0,"A","04/27/2021 15:30",
666,2020,"OLYM","ATTW","Picoides dorsalis","American Three-toed Woodpecker","Picidae",1009,"7/13/2020","07:32","Ray_Katelyn",,2,"No nest observed",,"Heard squeaky ""pik"" calls until I saw the birds. Both birds had barred flanks and thin white stripes on face. One bird, male, had yelow patch on head.","Hayden Pass","3171.SW04",,,,,,,"NAD83",,,472966,5291860,"NAD83",4,"GPS","Garmin GPS 60 series","3171SW04",,0,"A","04/27/2021 15:30",
674,2020,"OLYM","ATTW","Picoides dorsalis","American Three-toed Woodpecker","Picidae",1009,"7/12/2020","06:30","Holmgren_Mandy",,1,"No nest observed",32,"I heard the call notes of an ATTW- flat (definitely less sharp than a HAWO) notes, persistently calling as it went from tree to tree.","Dosewallips, near Dose Meadows","3127.EE03",,,,,,,"NAD83",,,474714,5294409,"NAD83",5,"GPS","Garmin GPS 60 series","3127EE03",,0,"A","04/27/2021 15:30",
679,2020,"OLYM","BLSW","Cypseloides niger","Black Swift","Apodidae",282,"7/26/2020","13:15","Holmgren_Mandy","Ray_Katelyn",2,"No nest observed",,"We saw and heard 2 BLSWs flying over a dry, talus/screen slope. They were twittering (lower-pitched than VASW) and we got a visual- longer (and notched) tail than VASW, all dark, with slower wingbeats.","Near Skyline Trail",,,,,,,,"NAD83",,,451170,5281984,"NAD83",,"Map","None",,,0,"A","04/27/2021 15:30",
676,2020,"OLYM","CONI","Chordeiles minor","Common Nighthawk","Caprimulgidae",256,"6/23/2020","05:14","Holmgren_Mandy","Ray_Katelyn",1,"No nest observed",125,"We heard the ""peent"" calls of a CONI near the TO and NW01. It also did the hollow ""vroom!"" sound as it dove (sound of its wings).","Deer Park Rd.","3200.NW01",,,,,,,"NAD83",,,478253,5313321,"NAD83",3,"GPS","Garmin GPS 60 series","3200NW01",,0,"A","04/27/2021 15:30",
682,2020,"OLYM","DUFL","Empidonax oberholseri","Dusky Flycatcher","Tyrannidae",1368,"6/27/2020","12:40","Holmgren_Mandy",,1,"No nest observed",,"I heard the vocalization of a DUFL on the shrubby area at the bottom of meadow (near the large rock). It was just doing the first note of the full song (its half song), which is what I often hear them doing at NOCA. It was cleared than a HAFL's, and just very different from what HAFL or PSFL do. It did that half song several times over the course of ten minutes, never doing the full song.","Hurricane Hill to Elwha Trail",,,,,,,,"NAD83",,,457818,5316138,"NAD83",,"Map","None",,,0,"A","04/27/2021 15:30",
669,2020,"OLYM","GCRF","Leucosticte tephrocotis","Gray-crowned Rosy-Finch","Fringillidae",1826,"7/10/2020","12:30","Ray_Katelyn",,2,"No nest observed",96,"Faintly buzzy flight calls - ""zewwzewwzeww"". One bird perched on top of a tree, giving me good looks at its gray head and brown body.","Constance Pass",,,,,,,,"NAD83",,,486308,5290761,"NAD83",,"Map","None",,,0,"A","04/27/2021 15:30",
