"Obs_year","Park_code","Obs_date_str","Species","Sci_name","Com_name","Taxon_family","Taxon_sort","Observer","Loc_description","Obs_notes","Incidental_obs_ID","DPL_code","DPL_date_str"
2020,"MORA","6/17/2020","AMDI","Cinclus mexicanus","American Dipper","Cinclidae",1584,"McMahon_Quinn","Tahoma Creek",,4283,"A","04/27/2021 15:30"
2020,"MORA","7/13/2020","AMPI","Anthus rubescens","American Pipit","Passeridae",1757,"Kropp_Mikaela","Grand Park",,4293,"A","04/27/2021 15:30"
2020,"MORA","6/2/2020","AMRO","Turdus migratorius","American Robin","Muscicapidae",1681,"McMahon_Quinn","Nisqually",,4291,"A","04/27/2021 15:30"
2020,"MORA","7/24/2020","ATTW","Picoides dorsalis","American Three-toed Woodpecker","Picidae",1009,"Kropp_Mikaela","Sunrise Campground",,4262,"A","04/27/2021 15:30"
2020,"MORA","6/16/2020","BADO","Strix varia","Barred Owl","Strigidae",908,"McMahon_Quinn","St. Andrew's",,4257,"A","04/27/2021 15:30"
2020,"MORA","7/16/2020","BAGO","Bucephala islandica","Barrow’s Goldeneye","Anatidae",100,"Kropp_Mikaela","Mystic Lake",,4249,"A","04/27/2021 15:30"
2020,"MORA","7/22/2020","BARS","Hirundo rustica","Barn Swallow","Hirundinidae",1495,"Kropp_Mikaela","Paradise",,4275,"A","04/27/2021 15:30"
2020,"MORA","6/2/2020","BCCH","Poecile atricapillus","Black-capped Chickadee","Paridae",1502,"McMahon_Quinn","Nisqually",,4276,"A","04/27/2021 15:30"
2020,"MORA","6/4/2020","BHGR","Pheucticus melanocephalus","Black-headed Grosbeak","Fringillidae",2169,"McMahon_Quinn","Nisqually",,4310,"A","04/27/2021 15:30"
2020,"MORA","6/2/2020","BRCR","Certhia americana","Brown Creeper","Certhiidae",1520,"Kropp_Mikaela","Nisqually",,4281,"A","04/27/2021 15:30"
2020,"MORA","7/24/2020","BTPI","Patagioenas fasciata","Band-tailed Pigeon","Columbidae",183,"McMahon_Quinn","Mowich Lake",,4255,"A","04/27/2021 15:30"
2020,"MORA","6/4/2020","BTYW","Setophaga nigrescens","Black-throated Gray Warbler","Fringillidae",2122,"McMahon_Quinn","Nisqually",,4296,"A","04/27/2021 15:30"
2020,"MORA","6/2/2020","CAJA","Perisoreus canadensis","Gray Jay","Corvidae",1427,"McMahon_Quinn","Nisqually",,4269,"A","04/27/2021 15:30"
2020,"MORA","6/16/2020","CAVI","Vireo cassinii","Cassin's Vireo","Vireonidae",1416,"McMahon_Quinn","Westside Rd.",,4267,"A","04/27/2021 15:30"
2020,"MORA","6/2/2020","CBCH","Poecile rufescens","Chestnut-backed Chickadee","Paridae",1505,"McMahon_Quinn","Nisqually",,4278,"A","04/27/2021 15:30"
2020,"MORA","7/12/2020","CEDW","Bombycilla cedrorum","Cedar Waxwing","Bombycillidae",1717,"McMahon_Quinn","Grand Park",,4294,"A","04/27/2021 15:30"
2020,"MORA","7/13/2020","CHSP","Spizella passerina","Chipping Sparrow","Fringillidae",1894,"Kropp_Mikaela","Grand Park",,4304,"A","04/27/2021 15:30"
2020,"MORA","7/12/2020","CLNU","Nucifraga columbiana","Clark’s Nutcracker","Corvidae",1453,"McMahon_Quinn","Sunrise",,4271,"A","04/27/2021 15:30"
2020,"MORA","6/5/2020","COME","Mergus merganser","Common Merganser","Anatidae",103,"McMahon_Quinn","Ohanapecosh",,4250,"A","04/27/2021 15:30"
2020,"MORA","6/2/2020","CORA","Corvus corax","Common Raven","Corvidae",1471,"McMahon_Quinn","Nisqually",,4272,"A","04/27/2021 15:30"
2020,"MORA","6/2/2020","DEJU","Junco hyemalis","Dark-eyed Junco","Fringillidae",1910,"McMahon_Quinn","Nisqually",,4309,"A","04/27/2021 15:30"
2020,"MORA","6/2/2020","EVGR","Coccothraustes vespertinus","Evening Grosbeak","Fringillidae",1780,"McMahon_Quinn","Nisqually",,4317,"A","04/27/2021 15:30"
2020,"MORA","7/13/2020","FOSP","Passerella iliaca","Fox Sparrow","Fringillidae",1906,"Kropp_Mikaela","Grand Park",,4306,"A","04/27/2021 15:30"
2020,"MORA","6/2/2020","GCKI","Regulus satrapa","Golden-crowned Kinglet","Regulidae",1587,"Kropp_Mikaela","Nisqually",,4284,"A","04/27/2021 15:30"
2020,"MORA","7/22/2020","GCRF","Leucosticte tephrocotis","Gray-crowned Rosy-Finch","Fringillidae",1826,"McMahon_Quinn","Paradise",,4312,"A","04/27/2021 15:30"
2020,"MORA","6/25/2020","HADU","Histrionicus histrionicus","Harlequin Duck","Anatidae",89,"McMahon_Quinn","Carbon River",,4248,"A","04/27/2021 15:30"
2020,"MORA","6/2/2020","HAFL","Empidonax hammondii","Hammond's Flycatcher","Tyrannidae",1365,"McMahon_Quinn","Nisqually",,4265,"A","04/27/2021 15:30"
2020,"MORA","6/2/2020","HAWO","Picoides villosus","Hairy Woodpecker","Picidae",1016,"Kropp_Mikaela","Nisqually",,4261,"A","04/27/2021 15:30"
2020,"MORA","6/2/2020","HETH","Catharus guttatus","Hermit Thrush","Muscicapidae",1661,"Kropp_Mikaela","Nisqually",,4290,"A","04/27/2021 15:30"
2020,"MORA","6/4/2020","HEWA","Setophaga occidentalis","Hermit Warbler","Fringillidae",2125,"McMahon_Quinn","Nisqually",,4299,"A","04/27/2021 15:30"
2020,"MORA","7/26/2020","HOLA","Eremophila alpestris","Horned Lark","Alaudidae",1476,"McMahon_Quinn","Sunrise",,4273,"A","04/27/2021 15:30"
2020,"MORA","6/6/2020","MGWA","Geothlypis tolmiei","MacGillivray’s Warbler","Fringillidae",2076,"Kropp_Mikaela","Stevens Canyon",,4300,"A","04/27/2021 15:30"
2020,"MORA","7/12/2020","MOBL","Sialia currucoides","Mountain Bluebird","Muscicapidae",1635,"McMahon_Quinn","Sunrise",,4287,"A","04/27/2021 15:30"
2020,"MORA","7/16/2020","MOCH","Poecile gambeli","Mountain Chickadee","Paridae",1503,"Kropp_Mikaela","Mystic Lake",,4277,"A","04/27/2021 15:30"
2020,"MORA","6/2/2020","NOFL","Colaptes auratus","Northern Flicker","Picidae",1028,"Kropp_Mikaela","Nisqually",,4263,"A","04/27/2021 15:30"
2020,"MORA","6/18/2020","NOGO","Accipiter gentilis","Northern Goshawk","Accipitridae",836,"McMahon_Quinn","Stevens Canyon",,4253,"A","04/27/2021 15:30"
