"Species_code","Scientific_name","Pref_com_name","Other_com_name","Pref_com_is","Sort_order","TSN","Accepted_TSN","Category","Family","Taxon_type","Taxon_is_active","Refers_to_code","Project_taxon_notes","Taxon_notes","<>","LEWI","MORA","NOCA","OLYM","SAJH"
"AMBI","Botaurus lentiginosus","American Bittern","American Bittern","Same",769,174856,,"Bird","Ardeidae","Specific",1,,,,,1,1,1,1,1
"AMCO","Fulica americana","American Coot","American Coot","Same",468,176292,,"Bird","Rallidae","Specific",1,,,,,1,1,1,1,1
"AMCR","Corvus brachyrhynchos","American Crow","American Crow","Same",1458,179731,,"Bird","Corvidae","Specific",1,,,,,1,1,1,1,1
"AMDI","Cinclus mexicanus","American Dipper","American Dipper","Same",1584,178536,,"Bird","Cinclidae","Specific",1,,,,,1,1,1,1,1
"AMGO","Spinus tristis","American Goldfinch","American Goldfinch","Same",1853,179249,,"Bird","Fringillidae","Specific",1,,"Mar 2017: Updated Sci_name and TSN to reflect name change (TSN was 179236), taxon definition consistent",,,1,1,1,1,1
"AMGP","Pluvialis dominica","American Golden-Plover","Lesser Golden-Plover","Different",486,176564,,"Bird","Charadriidae","Specific",1,,,,,1,1,1,1,1
"AMKE","Falco sparverius","American Kestrel","American Kestrel","Same",1053,175622,,"Bird","Falconidae","Specific",1,,,,,1,1,1,1,1
"AMPI","Anthus rubescens","American Pipit","American Pipit","Same",1757,554127,,"Bird","Passeridae","Specific",1,,,"Recently split from A. spinoletta, a European species",,1,1,1,1,1
"AMRE","Setophaga ruticilla","American Redstart","American Redstart","Same",2091,178979,,"Bird","Fringillidae","Specific",1,,,,,1,1,1,1,1
"AMRO","Turdus migratorius","American Robin","American Robin","Same",1681,179759,,"Bird","Muscicapidae","Specific",1,,,,,1,1,1,1,1
"AMWI","Anas americana","American Wigeon","American Wigeon","Same",64,175094,,"Bird","Anatidae","Specific",1,,,,,1,1,1,1,1
"ANHU","Calypte anna","Anna’s Hummingbird","Anna’s Hummingbird","Same",365,178036,,"Bird","Trochilidae","Specific",1,,,,,1,1,1,1,1
"ANMU","Synthliboramphus antiquus","Ancient Murrelet","Ancient Murrelet","Same",591,177008,,"Bird","Laridae","Specific",1,,,,,1,1,1,1,1
"ATTW","Picoides dorsalis","American Three-toed Woodpecker","American Three-toed Woodpecker","Same",1009,685725,685725,"Bird","Picidae","Specific",1,,,,,1,1,1,1,1
"AWPE","Pelecanus erythrorhynchos","American White Pelican","American White Pelican","Same",766,174684,,"Bird","Pelecanidae","Specific",1,,,,,1,1,1,1,1
"BADO","Strix varia","Barred Owl","Barred Owl","Same",908,177921,,"Bird","Strigidae","Specific",1,,,,,1,1,1,1,1
"BAEA","Haliaeetus leucocephalus","Bald Eagle","Bald Eagle","Same",839,175420,,"Bird","Accipitridae","Specific",1,,,,,1,1,1,1,1
"BAGO","Bucephala islandica","Barrow’s Goldeneye","Barrow’s Goldeneye","Same",100,175144,,"Bird","Anatidae","Specific",1,,,,,1,1,1,1,1
"BANO","Tyto alba","Barn Owl","Barn Owl","Same",874,177851,,"Bird","Tytonidae","Specific",1,,,,,1,1,1,1,1
"BARS","Hirundo rustica","Barn Swallow","Barn Swallow","Same",1495,178448,,"Bird","Hirundinidae","Specific",1,,,,,1,1,1,1,1
"BBWO","Picoides arcticus","Black-backed Woodpecker","Black-backed Woodpecker","Same",1010,178250,,"Bird","Picidae","Specific",1,,,,,1,1,1,1,1
"BCCH","Poecile atricapillus","Black-capped Chickadee","Black-capped Chickadee","Same",1502,554382,,"Bird","Paridae","Specific",1,,,,,1,1,1,1,1
"BEKI","Megaceryle alcyon","Belted Kingfisher","Belted Kingfisher","Same",956,178106,,"Bird","Cerylidae","Specific",1,,"Mar 2017: Updated Sci_name and TSN to reflect name change (TSN was 178119), taxon definition consistent",,,1,1,1,1,1
"BEWR","Thryomanes bewickii","Bewick’s Wren","Bewick’s Wren","Same",1540,178562,,"Bird","Certhiidae","Specific",1,,,,,1,1,1,1,1
"BFAL","Phoebastria nigripes","Black-footed Albatross","Black-footed Albatross","Same",681,554379,,"Bird","Procellariidae","Specific",1,,,,,1,1,1,1,1
"BHCO","Molothrus ater","Brown-headed Cowbird","Brown-headed Cowbird","Same",2038,179112,,"Bird","Fringillidae","Specific",1,,,,,1,1,1,1,1
"BHGR","Pheucticus melanocephalus","Black-headed Grosbeak","Black-headed Grosbeak","Same",2169,179140,,"Bird","Fringillidae","Specific",1,,,,,1,1,1,1,1
"BLKI","Rissa tridactyla","Black-legged Kittiwake","Black-legged Kittiwake","Same",602,176875,,"Bird","Laridae","Specific",1,,,,,1,1,1,1,1
"BLOY","Haematopus bachmani","Black Oystercatcher","American Black Oystercatcher","Different",481,176475,,"Bird","Charadriidae","Specific",1,,,,,1,1,1,1,1
"BLPH","Sayornis nigricans","Black Phoebe","Black Phoebe","Same",1377,178330,,"Bird","Tyrannidae","Specific",1,,,,,1,,,,
"BLSC","Melanitta americana","Black Scoter","Black Scoter","Same",96,,,"Bird","Anatidae","Specific",1,,"Mar 2017: Corrected Sci_name and TSN to indicate correct species (TSN was 175171)",,,1,1,1,1,1
"BLSW","Cypseloides niger","Black Swift","Black Swift","Same",282,177997,,"Bird","Apodidae","Specific",1,,,,,1,1,1,1,1
"BLTU","Arenaria melanocephala","Black Turnstone","Black Turnstone","Same",518,176574,,"Bird","Scolopacidae","Specific",1,,,,,1,1,1,1,1
"BLUG","Dendragapus obscurus","Dusky Grouse","Blue Grouse","Different",159,175860,,"Bird","Phasianidae","Specific",0,"SOGR","Refer to Sooty Grouse",,,1,1,1,1,1
"BOBO","Dolichonyx oryzivorus","Bobolink","Bobolink","Same",1991,179032,179032,"Bird","Icteridae","Specific",1,,,,,,,1,,
"BOGU","Chroicocephalus philadelphia","Bonaparte’s Gull","Bonaparte’s Gull","Same",606,824040,,"Bird","Laridae","Specific",1,,"Mar 2017: Updated Sci_name and TSN to reflect name change (TSN was 176839), taxon definition consistent",,,1,1,1,1,1
"BOOW","Aegolius funereus","Boreal Owl","Boreal Owl","Same",916,177938,,"Bird","Strigidae","Specific",1,,,,,1,1,1,1,1
"BOWA","Bombycilla garrulus","Bohemian Waxwing","Bohemian Waxwing","Same",1716,178529,,"Bird","Bombycillidae","Specific",1,,,,,1,1,1,1,1
"BRAC","Phalacrocorax penicillatus","Brandt’s Cormorant","Brandt’s Cormorant","Same",759,174724,,"Bird","Phalacrocoracidae","Specific",1,,,,,1,1,1,1,1
"BRAN","Branta bernicla","Brant","Brant","Same",28,175011,175011,"Bird","Anatidae","Specific",1,,,,,,,,,1
"BRBL","Euphagus cyanocephalus","Brewer’s Blackbird","Brewer’s Blackbird","Same",2043,179094,,"Bird","Fringillidae","Specific",1,,,,,1,1,1,1,1
"BRCR","Certhia americana","Brown Creeper","Brown Creeper","Same",1520,178803,,"Bird","Certhiidae","Specific",1,,,,,1,1,1,1,1
"BRPE","Pelecanus occidentalis","Brown Pelican","Brown Pelican","Same",767,174685,,"Bird","Pelecanidae","Specific",1,,,,,1,1,1,1,1
"BRSP","Spizella breweri","Brewer's Sparrow","Brewer's Sparrow","Same",1898,179440,179440,"Bird","Emberizidae","Specific",1,,,,,,,1,,
"BTPI","Patagioenas fasciata","Band-tailed Pigeon","Band-tailed Pigeon","Same",183,676899,177065,"Bird","Columbidae","Specific",1,,,,,1,1,1,1,1
"BTYW","Setophaga nigrescens","Black-throated Gray Warbler","Black-throated Gray Warbler","Same",2122,178896,,"Bird","Fringillidae","Specific",1,,,,,1,1,1,1,1
"BUFF","Bucephala albeola","Bufflehead","Bufflehead","Same",98,175145,,"Bird","Anatidae","Specific",1,,,,,1,1,1,1,1
"BUOR","Icterus bullockii","Bullock's Oriole","Bullock's Oriole","Same",2020,554267,,"Bird","Fringillidae","Specific",1,,,,,1,1,1,1,1
"BUSH","Psaltriparus minimus","Bushtit","Bushtit","Same",1515,178764,,"Bird","Aegithalidae","Specific",1,,,,,1,1,1,1,1
